"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym","synonym"
"Leber Congenital Amaurosis","LCA10","611755","16909394",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag",NA
"Leber Congenital Amaurosis","LCA11","613837","16384941",3614,"IMPDH1","146690","Cytosol,Rods & Rings","25613900","IMPDH1;IMPDH1;ENSG00000106348; IMPD; RP10; IMPD1; LCA11; IMPDH-I; sWSS2608",NA
"Leber Congenital Amaurosis","LCA14","613341","17011878",9227,"LRAT","604863","Endoplasmic reticulum,Golgi apparatus","25613900","LRAT;LRAT;ENSG00000121207; LCA14","RETINAL DYSTROPHY, EARLY-ONSET SEVERE, LRAT-RELATED, INCLUDED RETINITIS PIGMENTOSA, JUVENILE, LRAT-RELATED, INCLUDED;"
"Leber Congenital Amaurosis","LCA15","613843","15024725, 17962469",7287,"TULP1","602280","Cilia","16303976","TULP1;TULP1;ENSG00000112041; RP14; LCA15; TUBL1","RETINITIS PIGMENTOSA, JUVENILE, TULP1-RELATED, INCLUDED;"
"Leber Congenital Amaurosis","LCA16","614186","25921210",3769,"KCNJ13","603208","Nuclear membrane","25613900","KCNJ13;KCNJ13;ENSG00000115474; SVD; LCA16; KIR1.4; KIR7.1",NA
"Leber Congenital Amaurosis","LCA17","615360","23307924",392255,"GDF6","601147","Nucleoplasm,Nuclear membrane,Vesicles","25613900","GDF6;GDF6;ENSG00000156466; KFM; KFS; KFS1; KFSL; SGM1; BMP13; CDMP2; SYNS4; BMP-13",NA
"Leber Congenital Amaurosis","LCA18","608133","23847139",5961,"PRPH2","179605","Cilia","30819798","PRPH2;PRPH2;ENSG00000112619; DS; RDS; RP7; rd2; AVMD; PRPH; AOFMD; CACD2; MDBS1; TSPAN22","RETINITIS PIGMENTOSA 7, DIGENIC, INCLUDED LEBER CONGENITAL AMAUROSIS 18, INCLUDED; LCA18, INCLUDED;"
"Leber Congenital Amaurosis","LCA19","618513","30573563",85015,"USP45","618439","Nucleoplasm,Cytosol","25613900","USP45;USP45;ENSG00000123552; LCA19",NA
"Leber Congenital Amaurosis","LCA","No MIM Number","20881296",9657,"IQCB1","609237","Transition Zone","15723066","IQCB1;IQCB1;ENSG00000173226; PIQ; NPHP5; SLSN5",NA
"Leber Congenital Amaurosis","LCA","No MIM Number","33711342",56623,"INPP5E","613037","Cilia, Axoneme","19668216, 19668216","INPP5E;INPP5E;ENSG00000148384; CPD4; CORS1; JBTS1; MORMS; PPI5PIV; pharbin",NA
"Lowe Oculocerebrorenal Syndrome","OCRL","309000","9430698",4952,"OCRL","300535","Basal Body, Transition Zone","22543976","OCRL;OCRL;ENSG00000122126; LOCR; DENT2; NPHL2; OCRL1; Dent-2; INPP5F; OCRL-1","OCRL1 LOWE SYNDROME PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 5-PHOSPHATASE DEFICIENCY;"
"McKusick-Kaufman Syndrome","MKKS","236700","21044901",8195,"MKKS","604896","Basal Body","19396898","MKKS;MKKS;ENSG00000125863; KMS; MKS; BBS6; HMCS","HYDROMETROCOLPOS SYNDROME HYDROMETROCOLPOS, POSTAXIAL POLYDACTYLY, AND CONGENITAL HEART MALFORMATION; HMCS KAUFMAN-MCKUSICK SYNDROME;"
"Meckel–Gruber Syndrome","MKS1","249000","17935508",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28","MECKEL-GRUBER SYNDROME, TYPE 1 MECKEL SYNDROME; MKS MES DYSENCEPHALIA SPLANCHNOCYSTICA GRUBER SYNDROME MECKEL-GRUBER SYNDROME;"
"Meckel–Gruber Syndrome","MKS2","603194","20512146",51259,"TMEM216","613277","Basal Body","20512146","TMEM216;TMEM216;ENSG00000187049; HSPC244","MECKEL-GRUBER SYNDROME, TYPE 2;"
"Meckel–Gruber Syndrome","MKS3","607361","12384791, 16415887",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN","MECKEL-GRUBER SYNDROME, TYPE 3;"
"Meckel–Gruber Syndrome","MKS4","611134","17564974, 17705300",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag","MECKEL-GRUBER SYNDROME, TYPE 4;MECKEL-LIKE CEREBRORENODIGITAL SYNDROME, INCLUDED"
"Meckel–Gruber Syndrome","MKS5","611561","17558409",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134",NA
"Meckel–Gruber Syndrome","MKS6","612284","18513680",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2",NA
"Meckel–Gruber Syndrome","MKS7","267010","18371931",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31","RENAL-HEPATIC-PANCREATIC DYSPLASIA WITH DANDY-WALKER CYST GOLDSTON SYNDROME;"
"Meckel–Gruber Syndrome","MKS8","613885","21462283",79867,"TCTN2","613846","Transition Zone","21725307","TCTN2;TCTN2;ENSG00000168778; MKS8; TECT2; JBTS24; C12orf38",NA
"Meckel–Gruber Syndrome","MKS9","614209","21493627",27077,"B9D1","614144","Transition Zone","18337471","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1",NA
"Meckel–Gruber Syndrome","MKS10","614175","21763481",80776,"B9D2","611951","Transition Zone","18337471","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2","JOUBERT SYNDROME 34, INCLUDED; JBTS34, INCLUDED;"
"Meckel–Gruber Syndrome","MKS11","615397","23349226",79583,"TMEM231","614949","Basal Body, Transition Zone","22179047","TMEM231;TMEM231;ENSG00000205084; MKS11; JBTS20; ALYE870; PRO1886",NA
"Meckel–Gruber Syndrome","MKS12","616258","24128419",9928,"KIF14","611279","Axoneme","32348467","KIF14;KIF14;ENSG00000118193; MKS12; MCPH20",NA
"Meckel–Gruber Syndrome","MKS13","617562","26123494",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268","JOUBERT SYNDROME 29, INCLUDED; JBTS29, INCLUDED;"
"Meckel–Gruber Syndrome","MKS","No MIM Number","33791682",219854,"TMEM218","619285","Transition Zone","26982032","TMEM218;TMEM218;ENSG00000150433; JBTS39",NA
"Meckel–Gruber Syndrome","MKS","No MIM Number","28295209",55165,"CEP55","610000","Plasma membrane,Midbody,Centriolar satellite","25613900","CEP55;CEP55;ENSG00000138180; CT111; MARCH; URCC6; C10orf3",NA
"Meckel–Gruber Syndrome","MKS","No MIM Number","34096792",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61",NA
"Meckel–Gruber Syndrome","MKS","No MIM Number","27894351, 30138887",79770,"TXNDC15","617778","Golgi apparatus","25613900","TXNDC15;TXNDC15;ENSG00000113621; BUG; MKS14; UNQ335; C5orf14",NA
"Morbid Obesity and Spermatogenic Failure","MOSPGF","615703","24268657",84984,"CEP19","615586","Basal Body","24268657","CEP19;CEP19;ENSG00000174007; MOSPGF; C3orf34",NA
"Nephronophthisis","NPHP1","256100","9326933, 23559409",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1","NEPHRONOPHTHISIS, FAMILIAL JUVENILE NPH1;"
"Nephronophthisis","NPHP2","602088","12872123",27130,"INVS","243305","Cilia","12872123","INVS;INVS;ENSG00000119509; INV; NPH2; NPHP2","NPH2;"
"Nephronophthisis","NPHP3","604387","12872122, 19303681",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31","NPH3;"
"Nephronophthisis","NPHP4","606966","11920287",261734,"NPHP4","607215","Transition Zone","21565611","NPHP4;NPHP4;ENSG00000131697; POC10; SLSN4","NEPHRONOPHTHISIS 4, JUVENILE;"
"Nephronophthisis","NPHP7","611498","17618285",84662,"GLIS2","608539","Cilia","17618285","GLIS2;GLIS2;ENSG00000126603; NKL; NPHP7",NA
"Nephronophthisis","NPHP9","613824","18199800",284086,"NEK8","609799","Cilia","16267153, 23274954","NEK8;NEK8;ENSG00000160602; JCK; NPHP9; RHPD2; NEK12A",NA
"Nephronophthisis","NPHP11","613550","19508969",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN",NA
"Nephronophthisis","NPHP12","613820","21258341",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696","JOUBERT SYNDROME 11, INCLUDED; JBTS11, INCLUDED;"
"Nephronophthisis","NPHP13","614377","22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72",NA
"Nephronophthisis","NPHP14","614844","22863007",23090,"ZNF423","604557","Nucleoplasm","25613900","ZNF423;ZNF423;ENSG00000102935; OAZ; Roaz; hOAZ; Ebfaz; JBTS19; NPHP14; ZFP423; Zfp104","JOUBERT SYNDROME 19, INCLUDED; JBTS19, INCLUDED;"
"Nephronophthisis","NPHP15","614845","22863007",22897,"CEP164","614848","Cilia","31492868","CEP164;CEP164;ENSG00000110274; NPHP15",NA
"Nephronophthisis","NPHP16","615382","23793029",203286,"ANKS6","615370","Cilia","23793029","ANKS6;ANKS6;ENSG00000165138; PKDR1; SAMD6; NPHP16; ANKRD14",NA
"Nephronophthisis","NPHP18","615862","24882706",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58",NA
"Nephronophthisis","NPHP19","616217","25557784",51473,"DCDC2","605755","Cilia, Axoneme","21698230, 25557784","DCDC2;DCDC2;ENSG00000146038; NSC; RU2; RU2S; DCDC2A; DFNB66; NPHP19",NA
"Nephronophthisis","NPHP20","617271","28089251",23005,"MAPKBP1","616786","Nucleoplasm,Nucleoli,Nucleoli rim","25613900","MAPKBP1;MAPKBP1;ENSG00000137802; JNKBP1; NPHP20; JNKBP-1",NA
"Nephronophthisis","NPHPL1","613159","20179356",63929,"XPNPEP3","613553","Mitochondria,Cytosol","25613900","XPNPEP3;XPNPEP3;ENSG00000196236; APP3; ICP55; NPHPL1",NA
"Nephronophthisis","NPHP","No MIM Number","34435324",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2",NA
"Nephronophthisis","NPHP","No MIM Number","30609407",56999,"ADAMTS9","605421","Cilia","30814516",NA,NA
"Nephronophthisis","NPHP","No MIM Number","31534065",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7",NA
"Nephronophthisis","NPHP","No MIM Number","32619255",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag",NA
"Orofaciodigital Syndrome","OFD1","311200","20818665",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10","ORAL-FACIAL-DIGITAL SYNDROME, TYPE I OFDS I PAPILLON-LEAGE AND PSAUME SYNDROME;"
"Orofaciodigital Syndrome","OFD4","258860","22883145",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61","OFDS IV ORAL-FACIAL-DIGITAL SYNDROME, TYPE IV OFD SYNDROME WITH TIBIAL DEFECTS MOHR-MAJEWSKI SYNDROME OFD SYNDROME, BARAITSER-BURN TYPE BARAITSER-BURN SYNDROME;"
"Orofaciodigital Syndrome","OFD5","174300","23972372",83479,"DDX59","615464","Nucleoplasm,Actin filaments","25613900","DDX59;DDX59;ENSG00000118197; OFD5; ZNHIT5","OFDS V ORAL-FACIAL-DIGITAL SYNDROME, TYPE V OROFACIODIGITAL SYNDROME, THURSTON TYPE THURSTON SYNDROME POLYDACTYLY, POSTAXIAL, WITH MEDIAN CLEFT OF UPPER LIP;"
"Orofaciodigital Syndrome","OFD6","277170","24178751",65250,"CPLANE1","614571","Cilia","27158779","CPLANE1;CPLANE1;ENSG00000197603; Hug; OFD6; JBTS17; C5orf42","ORAL-FACIAL-DIGITAL SYNDROME, TYPE VI OFDS VI VARADI-PAPP SYNDROME VARADI SYNDROME POLYDACTYLY, CLEFT LIP/PALATE OR LINGUAL LUMP, AND PSYCHOMOTOR RETARDATION;"
"Orofaciodigital Syndrome","OFD14","615948","24997988",26005,"C2CD3","615944","Basal Body","19004860","C2CD3;C2CD3;ENSG00000168014; OFD14",NA
"Orofaciodigital Syndrome","OFD15","617127","26643951",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21","OFDS XV ORAL-FACIAL-DIGITAL SYNDROME, TYPE XV;"
"Orofaciodigital Syndrome","OFD16","617563","26518474",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268","OFDS XVI ORAL-FACIAL-DIGITAL SYNDROME, TYPE XVI;"
"Orofaciodigital Syndrome","OFD17","617926","27158779",27152,"INTU","610621","Basal Body","31564489","INTU;INTU;ENSG00000164066; INT; OFD17; PDZD6; PDZK6; SRTD20; CPLANE4","OFDS XVII ORAL-FACIAL-DIGITAL SYNDROME, TYPE XVII;"
"Orofaciodigital Syndrome","OFD18","617927","27060890",55081,"IFT57","606621","Basal Body, Axoneme","21209331","IFT57;IFT57;ENSG00000114446; HIPPI; OFD18; MHS4R2; ESRRBL1","OFDS XVIII ORAL-FACIAL-DIGITAL SYNDROME, TYPE XVIII;"
"Polycystic Kidney Disease","PKD","No MIM Number","33012205",2735,"GLI1","165220","Cilia","21209912","GLI1;GLI1;ENSG00000111087; GLI; PPD1; PAPA8",NA
"Polycystic Kidney Disease","PKD","No MIM Number","32841164",5373,"PMM2","601785","Nucleoplasm,Cytosol","25613900","PMM2;PMM2;ENSG00000140650; PMI; CDG1; CDGS; PMI1; CDG1a; PMM 2",NA
"Polycystic Kidney Disease","PKD","No MIM Number","34469896",2778,"GNAS","139320","Cilia","27308425","GNAS;GNAS;ENSG00000087460; AHO; GSA; GSP; POH; GPSA; NESP; SCG6; SgVI; GNAS1; PITA3; C20orf45",NA
"Polycystic Kidney Disease","PKD","No MIM Number","34469896",5298,"PI4KB","602758","Golgi apparatus","25613900","PI4KB;PI4KB;ENSG00000143393; NPIK; PI4K92; PIK4CB; PI4KIII; PI4KBETA; PI4K-BETA; PI4KIIIBETA",NA
"Polycystic Kidney Disease","PKD","No MIM Number","34548398",92104,"TTC30A","No MIM Number","Basal Body","20534810","TTC30A;TTC30A;ENSG00000197557; FAP259; IFT70A; TTC30B",NA
"Polycystic Kidney Disease","PKD","No MIM Number","21821671",6774,"STAT3","102582","Nucleoplasm,Cytosol","25613900","STAT3;STAT3;ENSG00000168610; APRF; HIES; ADMIO; ADMIO1",NA
"RHYNS  Syndrome","RHYNS","602152","29891882",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN","RETINITIS PIGMENTOSA SYNDROME RETINITIS PIGMENTOSA, HYPOPITUITARISM, NEPHRONOPHTHISIS, AND MILD SKELETAL DYSPLASIA;"
"Renal-hepatic-pancreatic Dysplasia","RHPD1","208540","18371931, 20007846",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31","RHPD;"
"Renal-hepatic-pancreatic Dysplasia","RHPD2","615415","23418306",284086,"NEK8","609799","Cilia","16267153, 23274954","NEK8;NEK8;ENSG00000160602; JCK; NPHP9; RHPD2; NEK12A",NA
"Renal-hepatic-pancreatic Dysplasia","RHPD","No MIM Number","33129895",51726,"DNAJB11","611341","Endoplasmic reticulum","25613900","DNAJB11;DNAJB11;ENSG00000090520; DJ9; EDJ; Dj-9; ERj3; PKD6; ABBP2; ERdj3; ERj3p; ABBP-2; UNQ537; PRO1080",NA
"Retinal Dystrophy","RDMS","617547","26294103",755,"CFAP410","603191","Basal Body","26167768","CFAP410;CFAP410;ENSG00000160226; RDMS; SMDAX; LRRC76; YF5/A2; C21orf2",NA
"Retinal Dystrophy","RDMS","No MIM Number","33938610",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58",NA
"Retinal Dystrophy","RDMS","No MIM Number","33599192",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696",NA
"STAR Syndrome","STAR","300707","28225384",92002,"CCNQ","300708","Nucleoplasm,Cytosol","25613900","CCNQ;CCNQ;ENSG00000262919; CycM; FAM58A","STAR SYNDROME SYNDACTYLY WITH RENAL AND ANOGENITAL MALFORMATIONS;"
"Senior-Løken Syndrome","SLSN1","266900","9856524",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1","SENIOR-LOKEN SYNDROME LOKEN-SENIOR SYNDROME RENAL-RETINAL SYNDROME JUVENILE NEPHRONOPHTHISIS WITH LEBER AMAUROSIS RENAL DYSPLASIA AND RETINAL APLASIA;"
"Senior-Løken Syndrome","SLSN4","606996","11920287",261734,"NPHP4","607215","Transition Zone","21565611","NPHP4;NPHP4;ENSG00000131697; POC10; SLSN4",NA
"Senior-Løken Syndrome","SLSN5","609254","15723066, 21220633",9657,"IQCB1","609237","Transition Zone","15723066","IQCB1;IQCB1;ENSG00000173226; PIQ; NPHP5; SLSN5",NA
"Senior-Løken Syndrome","SLSN6","610189","16682973",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag",NA
"Senior-Løken Syndrome","SLSN7","613615","20835237",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7",NA
"Senior-Løken Syndrome","SLSN8","616307","23683095",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72",NA
"Senior-Løken Syndrome","SLSN9","616629","26487268",26146,"TRAF3IP1","607380","Cilia, Transition Zone","19253336, 26487268","TRAF3IP1;TRAF3IP1;ENSG00000204104; IFT54; MIPT3; SLSN9; FAP116; MIP-T3",NA
"Senior-Løken Syndrome","SLSN","No MIM Number","22819833",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31",NA
"Short-rib Thoracic Dysplasia","SRTD2","611263","17468754",57560,"IFT80","611177","Cilia, Basal Body","15137945, 17468754","IFT80;IFT80;ENSG00000068885; ATD2; SRTD2; WDR56; FAP167","ASPHYXIATING THORACIC DYSTROPHY 2; ATD2;"
"Short-rib Thoracic Dysplasia","SRTD3","613091","23456818",79659,"DYNC2H1","603297","Nucleoplasm,Mitochondria,Cytosol","25613900","DYNC2H1;DYNC2H1;ENSG00000187240; ATD3; DHC2; DHC1b; DNCH2; DYH1B; SRTD3; SRPS2B; hdhc11","ASPHYXIATING THORACIC DYSTROPHY 3; ATD3 SHORT RIB-POLYDACTYLY SYNDROME, TYPE I; SRPS1 SALDINO-NOONAN SYNDROME POLYDACTYLY WITH NEONATAL CHONDRODYSTROPHY, TYPE I SHORT RIB-POLYDACTYLY SYNDROME, TYPE III; SRPS3 VERMA-NAUMOFF SYNDROME POLYDACTYLY WITH NEONATAL CHONDRODYSTROPHY, TYPE III SHORT RIB-POLYDACTYLY SYNDROME, TYPE IIB; SRPS2B;"
"Short-rib Thoracic Dysplasia","SRTD4","613819","25492405",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696","ASPHYXIATING THORACIC DYSTROPHY 4; ATD4;"
"Short-rib Thoracic Dysplasia","SRTD5","614376","19430947, 22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72","ASPHYXIATING THORACIC DYSTROPHY 5; ATD5;"
"Short-rib Thoracic Dysplasia","SRTD6","263520","25492405",4750,"NEK1","604588","Basal Body","18387364","NEK1;NEK1;ENSG00000137601; ALS24; SRPS2; SRTD6; SRPS2A; NY-REN-55","SHORT RIB-POLYDACTYLY SYNDROME, TYPE II SRPS, TYPE II MAJEWSKI SYNDROME SHORT RIB-POLYDACTYLY SYNDROME, TYPE IIA; SRPS2A POLYDACTYLY WITH NEONATAL CHONDRODYSTROPHY, TYPE II;"
"Short-rib Thoracic Dysplasia","SRTD7","614091","21473986",57539,"WDR35","613602","Transisiton Zone, Basal Body, Axoneme","15137945, 10.1016/j.mod.2009.06.702","WDR35;WDR35;ENSG00000118965; CED2; IFTA1; SRTD7; FAP118; IFT121","SHORT RIB-POLYDACTYLY SYNDROME, TYPE V; SRPS5;SHORT-RIB THORACIC DYSPLASIA 7/20 WITH POLYDACTYLY, DIGENIC, INCLUDED; SRTD7/20, INCLUDED"
"Short-rib Thoracic Dysplasia","SRTD8","615503","23910462, 25492405",55112,"DYNC2I1","615462","Cilia","23910462","DYNC2I1;DYNC2I1;ENSG00000126870; DIC6; SRPS6; SRTD8; WDR60; FAP163; CFAP163","SHORT RIB-POLYDACTYLY SYNDROME, TYPE VI; SRPS6;"
"Short-rib Thoracic Dysplasia","SRTD9","266920","23418020",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1","MAINZER-SALDINO SYNDROME; MZSDS CONORENAL SYNDROME RENAL DYSPLASIA, RETINAL PIGMENTARY DYSTROPHY, CEREBELLAR ATAXIA, AND SKELETAL DYSPLASIA;"
"Short-rib Thoracic Dysplasia","SRTD10","615630","24140113",26160,"IFT172","607386","Cilia, Axoneme","15137945, 24140113","IFT172;IFT172;ENSG00000138002; SLB; wim; RP71; BBS20; osm-1; NPHP17; SRTD10",NA
"Short-rib Thoracic Dysplasia","SRTD11","615633","24183451",89891,"DYNC2I2","613363","Cilia","25205765","DYNC2I2;DYNC2I2;ENSG00000119333; DIC5; WDR34; FAP133; SRTD11; CFAP133; bA216B9.3",NA
"Short-rib Thoracic Dysplasia","SRTD13","616300","25361962",153241,"CEP120","613446","Basal Body","20956381","CEP120;CEP120;ENSG00000168944; JBTS31; SRTD13; CCDC100",NA
"Short-rib Thoracic Dysplasia","SRTD14","616546","26166481",9786,"KIAA0586","610178","Basal Body","26386247","KIAA0586;KIAA0586;ENSG00000100578; JBTS23; SRTD14; Talpid3",NA
"Short-rib Thoracic Dysplasia","SRTD15","617088","26077881",51626,"DYNC2LI1","617083","Basal Body, Transition Zone","26130459","DYNC2LI1;DYNC2LI1;ENSG00000138036; LIC3; D2LIC; CGI-60",NA
"Short-rib Thoracic Dysplasia","SRTD16","617102","26880018, 27466190",51098,"IFT52","617094","Basal Body","11676918","IFT52;IFT52;ENSG00000101052; NGD2; NGD5; CGI-53; C20orf9",NA
"Short-rib Thoracic Dysplasia","SRTD17","617405","26044572",255758,"DYNLT2B","617353","Cilia","25205765","DYNLT2B;DYNLT2B;ENSG00000213123; SRTD17; TCTEX1D2",NA
"Short-rib Thoracic Dysplasia","SRTD18","617866","28400947",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179",NA
"Short-rib Thoracic Dysplasia","SRTD19","617895","27666822",28981,"IFT81","605489","Cilia","15955805, 26275418","IFT81;IFT81;ENSG00000122970; DV1; CDV1; CDV-1; CDV1R; CDV-1R; SRTD19",NA
"Short-rib Thoracic Dysplasia","SRTD20","617925","27158779",27152,"INTU","610621","Basal Body","31564489","INTU;INTU;ENSG00000164066; INT; OFD17; PDZD6; PDZK6; SRTD20; CPLANE4",NA
"Short-rib Thoracic Dysplasia","SRTD21","619479","29138412, 31816441",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21",NA
"Short-rib Thoracic Dysplasia","SRTD","No MIM Number","33200460",156,"GRK2","109635","Cytosol","25613900","GRK2;GRK2;ENSG00000173020; BARK1; ADRBK1; BETA-ARK1",NA
"Smith-Lemli-Opitz Syndrome","SLOS","270400","33284321",1717,"DHCR7","602858","Basal Body","33284321","DHCR7;DHCR7;ENSG00000172893; SLOS","SLO SYNDROME RSH SYNDROME RUTLEDGE LETHAL MULTIPLE CONGENITAL ANOMALY SYNDROME POLYDACTYLY, SEX REVERSAL, RENAL HYPOPLASIA, AND UNILOBAR LUNG LETHAL ACRODYSGENITAL SYNDROME;"
"Spondylometaphyseal Dysplasia","SMDAX","602271","26974433",755,"CFAP410","603191","Basal Body","26167768","CFAP410;CFAP410;ENSG00000160226; RDMS; SMDAX; LRRC76; YF5/A2; C21orf2","SMD, AXIAL AXIAL SMD;"
"Spondylometaphyseal Dysplasia","SMDK","184252","19232556",59341,"TRPV4","605427","Cilia","18024594, 28122715","TRPV4;TRPV4;ENSG00000111199; SMAL; VRL2; BCYM3; CMT2C; SPSMA; TRP12; VROAC; HMSN2C; OTRPC4; SSQTL1","SMD, KOZLOWSKI TYPE;"
"Spondylometaphyseal Dysplasia","SMDMDM","613320","24786642",51025,"PAM16","614336","Nucleoplasm,Microtubules,Mitochondria","25613900","PAM16;PAM16;ENSG00000217930; TIM16; MAGMAS; SMDMDM; TIMM16; CGI-136","CHONDRODYSPLASIA, MEGARBANE-DAGHER-MELKI TYPE;"
