"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Joubert Syndrome","JBTS28","617121","24886560",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Joubert Syndrome","JBTS29","617562","26595381",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268"
"Joubert Syndrome","JBTS30","617622","28625504",80210,"ARMC9","617612","Cilia, Basal Body","28625504, 29459677","ARMC9;ARMC9;ENSG00000135931; ARM; NS21; JBTS30; KU-MEL-1"
"Joubert Syndrome","JBTS31","617761","27208211",153241,"CEP120","613446","Basal Body","20956381","CEP120;CEP120;ENSG00000168944; JBTS31; SRTD13; CCDC100"
"Joubert Syndrome","JBTS32","617757","10.1016/j.ajhg.2017.08.017",51684,"SUFU","607035","Cilia","16254602","SUFU;SUFU;ENSG00000107882; SUFUH; JBTS32; SUFUXL; PRO1280"
"Joubert Syndrome","JBTS33","617767","29695797",10464,"PIBF1","607532","Centriolar satellite","25613900","PIBF1;PIBF1;ENSG00000083535; PIBF; CEP90; JBTS33; C13orf24"
"Joubert Syndrome","JBTS34","614175","26092869",80776,"B9D2","611951","Transition Zone","18337471","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2"
"Joubert Syndrome","JBTS35","618161","30269812",403,"ARL3","604695","Cilia","30952667","ARL3;ARL3;ENSG00000138175; RP83; ARFL3; JBTS35"
"Joubert Syndrome","JBTS36","618763","30905400",317662,"FAM149B1","618413","Cilia","30905400","FAM149B1;FAM149B1;ENSG00000138286; JBTS36; KIAA0974"
"Joubert Syndrome","JBTS37","619185","32453716",23116,"TOGARAM1","617618","Cilia","32453716","TOGARAM1;TOGARAM1;ENSG00000198718; JBTS37; FAM179B; KIAA0423"
"Joubert Syndrome","JBTS38","619476","28220259",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21"
"Joubert Syndrome","JBTS39","619562","33791682",219854,"TMEM218","619285","Transition Zone","26982032","TMEM218;TMEM218;ENSG00000150433; JBTS39"
"Joubert Syndrome","JBTS40","619582","33531668, 34539760",80173,"IFT74","608040","Cilia","15024030","IFT74;IFT74;ENSG00000096872; CMG1; BBS22; CCDC2; CMG-1; JBTS40; SPGF58"
"Joubert Syndrome","JBTS","No MIM Number","33131181",25776,"CBY1","607757","Basal Body","25103236","CBY1;CBY1;ENSG00000100211; CBY; arb1; PGEA1; C22orf2; Chibby1; PIGEA14; PIGEA-14; HS508I15A"
"Joubert Syndrome","JBTS","No MIM Number","34205586",54862,"CC2D1A","610055","Nucleoli fibrillar center,Plasma membrane,Cytosol","25613900","CC2D1A;CC2D1A;ENSG00000132024; Lgd2; MRT3; TAPE; Aki-1; FREUD-1; Freud-1/Aki1"
"Joubert Syndrome","JBTS","No MIM Number","27894351",85444,"LRRCC1","617791","Centrosome","25613900","LRRCC1;LRRCC1;ENSG00000133739; SAP2; VFL1; CLERC; CLERK"
"Joubert Syndrome","JBTS","No MIM Number","34750010",56999,"ADAMTS9","605421","Cilia","30814516",NA
"Joubert Syndrome","JBTS","No MIM Number","34423300",284217,"LAMA1","150320","Not reported",NA,"LAMA1;LAMA1;ENSG00000101680; LAMA; PTBHS; S-LAM-alpha"
"Juvenile Myoclonic Epilepsy","EJM1","254770","15258581",114327,"EFHC1","608815","Axoneme","26783883","EFHC1;EFHC1;ENSG00000096093; EJM1; POC9; RIB72; dJ304B14.2"
"Juvenile Myoclonic Epilepsy","EJM5","611136","11992121",2554,"GABRA1","137160","Nucleoplasm,Plasma membrane","25613900","GABRA1;GABRA1;ENSG00000022355; EJM; ECA4; EJM5; DEE19; EIEE19"
"Juvenile Myoclonic Epilepsy","EJM6","607682","10762541",785,"CACNB4","601949","Not reported",NA,"CACNB4;CACNB4;ENSG00000182389; EA5; EJM; CAB4; EIG9; EJM4; EJM6; CACNLB4"
"Juvenile Myoclonic Epilepsy","EJM7","613060","15115768",2563,"GABRD","137163","Golgi apparatus,Vesicles","25613900","GABRD;GABRD;ENSG00000187730; EJM7; EIG10; GEFSP5"
"Juvenile Myoclonic Epilepsy","EJM8","607628","19710717",1181,"CLCN2","600570","Cytosol","25613900","CLCN2;CLCN2;ENSG00000114859; CLC2; ECA2; ECA3; EGI3; EGMA; EJM6; EJM8; CIC-2; EGI11; HALD2; LKPAT; clC-2"
"Juvenile Myoclonic Epilepsy","EJM10","617924","29539279",22858,"ICK","612325","Cilia","24797473","CILK1;ICK;ENSG00000112144; ECO; ICK; MRK; LCK2; hICK; EJM10"
"Kallmann syndrome","KLM","308750","29263200",55717,"WDR11","606417","Cilia","29263200","WDR11;WDR11;ENSG00000120008; DR11; HH14; SRI1; BRWD2; WDR15"
"Laurence–Moon Syndrome","LNMS","245800","25480986",10908,"PNPLA6","603197","Endoplasmic reticulum,Cytosol","25613900","PNPLA6;PNPLA6;ENSG00000032444; NTE; sws; BNHS; LNMS; OMCS; SPG39; NTEMND; iPLA2delta"
"Leber Congenital Amaurosis","LCA1","204000","23035049",3000,"GUCY2D","600179","Cilia","10.1101/2020.12.15.417840","GUCY2D;GUCY2D;ENSG00000132518; LCA; CG-E; CYGD; LCA1; RCD2; CACD1; CORD5; CORD6; GUC2D; ROSGC; retGC; CSNB1I; GUC1A4; RETGC-1; ROS-GC1"
"Leber Congenital Amaurosis","LCA2","204100","12960219, 14962443",6121,"RPE65","180069","Not reported",NA,"RPE65;RPE65;ENSG00000116745; p63; BCO3; LCA2; RP20; rd12; mRPE65; sRPE65"
"Leber Congenital Amaurosis","LCA3","604232","21310915",55812,"SPATA7","609868","Cilia","25398945","SPATA7;SPATA7;ENSG00000042317; HSD3; LCA3; RP94; HSD-3.1; HEL-S-296"
"Leber Congenital Amaurosis","LCA4","604393","16272259",23746,"AIPL1","604392","Cilia","25799540","AIPL1;AIPL1;ENSG00000129221; LCA4; AIPL2"
"Leber Congenital Amaurosis","LCA5","604537","12642313",167691,"LCA5","611408","Cilia","17546029","LCA5;LCA5;ENSG00000135338; C6orf152"
"Leber Congenital Amaurosis","LCA6","613826","11528500",57096,"RPGRIP1","605446","Basal Body","15772089","RPGRIP1;RPGRIP1;ENSG00000092200; LCA6; RGI1; RGRIP; CORD13; RPGRIP; RPGRIP1d"
"Leber Congenital Amaurosis","LCA7","613829","9537410, 12208271",1406,"CRX","602225","Not reported",NA,"CRX;CRX;ENSG00000105392; CRD; LCA7; OTX3; CORD2"
"Leber Congenital Amaurosis","LCA8","613835","11231775",23418,"CRB1","604210","Vesicles","25613900","CRB1;CRB1;ENSG00000134376; LCA8; RP12; CRB1-A; CRB1-B; CRB1-C"
"Leber Congenital Amaurosis","LCA9","608553","22842230",64802,"NMNAT1","608700","Basal Body","29674119","NMNAT1;NMNAT1;ENSG00000173614; LCA9; NMNAT; PNAT1; SHILCA"
"Leber Congenital Amaurosis","LCA10","611755","16909394",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Leber Congenital Amaurosis","LCA11","613837","16384941",3614,"IMPDH1","146690","Cytosol,Rods & Rings","25613900","IMPDH1;IMPDH1;ENSG00000106348; IMPD; RP10; IMPD1; LCA11; IMPDH-I; sWSS2608"
"Leber Congenital Amaurosis","LCA12","610612","17186464",343035,"RD3","180040","Not reported",NA,"RD3;RD3;ENSG00000198570; LCA12; C1orf36"
"Leber Congenital Amaurosis","LCA13","612712","17197551",145226,"RDH12","608830","Not reported",NA,"RDH12;RDH12;ENSG00000139988; RP53; LCA13; SDR7C2"
"Leber Congenital Amaurosis","LCA14","613341","17011878",9227,"LRAT","604863","Endoplasmic reticulum,Golgi apparatus","25613900","LRAT;LRAT;ENSG00000121207; LCA14"
"Leber Congenital Amaurosis","LCA15","613843","15024725, 17962469",7287,"TULP1","602280","Cilia","16303976","TULP1;TULP1;ENSG00000112041; RP14; LCA15; TUBL1"
"Leber Congenital Amaurosis","LCA16","614186","25921210",3769,"KCNJ13","603208","Nuclear membrane","25613900","KCNJ13;KCNJ13;ENSG00000115474; SVD; LCA16; KIR1.4; KIR7.1"
"Leber Congenital Amaurosis","LCA17","615360","23307924",392255,"GDF6","601147","Nucleoplasm,Nuclear membrane,Vesicles","25613900","GDF6;GDF6;ENSG00000156466; KFM; KFS; KFS1; KFSL; SGM1; BMP13; CDMP2; SYNS4; BMP-13"
"Leber Congenital Amaurosis","LCA18","608133","23847139",5961,"PRPH2","179605","Cilia","30819798","PRPH2;PRPH2;ENSG00000112619; DS; RDS; RP7; rd2; AVMD; PRPH; AOFMD; CACD2; MDBS1; TSPAN22"
"Leber Congenital Amaurosis","LCA19","618513","30573563",85015,"USP45","618439","Nucleoplasm,Cytosol","25613900","USP45;USP45;ENSG00000123552; LCA19"
"Leber Congenital Amaurosis","LCA","No MIM Number","20881296",9657,"IQCB1","609237","Transition Zone","15723066","IQCB1;IQCB1;ENSG00000173226; PIQ; NPHP5; SLSN5"
"Leber Congenital Amaurosis","LCA","No MIM Number","33711342",56623,"INPP5E","613037","Cilia, Axoneme","19668216, 19668216","INPP5E;INPP5E;ENSG00000148384; CPD4; CORS1; JBTS1; MORMS; PPI5PIV; pharbin"
"Lowe Oculocerebrorenal Syndrome","OCRL","309000","9430698",4952,"OCRL","300535","Basal Body, Transition Zone","22543976","OCRL;OCRL;ENSG00000122126; LOCR; DENT2; NPHL2; OCRL1; Dent-2; INPP5F; OCRL-1"
"McKusick-Kaufman Syndrome","MKKS","236700","21044901",8195,"MKKS","604896","Basal Body","19396898","MKKS;MKKS;ENSG00000125863; KMS; MKS; BBS6; HMCS"
"Meckel–Gruber Syndrome","MKS1","249000","17935508",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Meckel–Gruber Syndrome","MKS2","603194","20512146",51259,"TMEM216","613277","Basal Body","20512146","TMEM216;TMEM216;ENSG00000187049; HSPC244"
"Meckel–Gruber Syndrome","MKS3","607361","12384791, 16415887",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Meckel–Gruber Syndrome","MKS4","611134","17564974, 17705300",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Meckel–Gruber Syndrome","MKS5","611561","17558409",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"Meckel–Gruber Syndrome","MKS6","612284","18513680",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"Meckel–Gruber Syndrome","MKS7","267010","18371931",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Meckel–Gruber Syndrome","MKS8","613885","21462283",79867,"TCTN2","613846","Transition Zone","21725307","TCTN2;TCTN2;ENSG00000168778; MKS8; TECT2; JBTS24; C12orf38"
"Meckel–Gruber Syndrome","MKS9","614209","21493627",27077,"B9D1","614144","Transition Zone","18337471","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1"
"Meckel–Gruber Syndrome","MKS10","614175","21763481",80776,"B9D2","611951","Transition Zone","18337471","B9D2;B9D2;ENSG00000123810; MKS10; MKSR2; ICIS-1; JBTS34; MKSR-2"
"Meckel–Gruber Syndrome","MKS11","615397","23349226",79583,"TMEM231","614949","Basal Body, Transition Zone","22179047","TMEM231;TMEM231;ENSG00000205084; MKS11; JBTS20; ALYE870; PRO1886"
"Meckel–Gruber Syndrome","MKS12","616258","24128419",9928,"KIF14","611279","Axoneme","32348467","KIF14;KIF14;ENSG00000118193; MKS12; MCPH20"
"Meckel–Gruber Syndrome","MKS13","617562","26123494",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268"
"Meckel–Gruber Syndrome","MKS","No MIM Number","33791682",219854,"TMEM218","619285","Transition Zone","26982032","TMEM218;TMEM218;ENSG00000150433; JBTS39"
"Meckel–Gruber Syndrome","MKS","No MIM Number","28295209",55165,"CEP55","610000","Plasma membrane,Midbody,Centriolar satellite","25613900","CEP55;CEP55;ENSG00000138180; CT111; MARCH; URCC6; C10orf3"
"Meckel–Gruber Syndrome","MKS","No MIM Number","34096792",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61"
"Meckel–Gruber Syndrome","MKS","No MIM Number","27894351, 30138887",79770,"TXNDC15","617778","Golgi apparatus","25613900","TXNDC15;TXNDC15;ENSG00000113621; BUG; MKS14; UNQ335; C5orf14"
"Medulloblastoma","MDB","155255","9931336",8643,"PTCH2","603673","Cilia","23900540","PTCH2;PTCH2;ENSG00000117425; PTC2"
"Medulloblastoma","MDB","155255","10192393, 10666372",1499,"CTNNB1","116806","Basal Body","21602792","CTNNB1;CTNNB1;ENSG00000168036; EVR7; CTNNB; MRD19; NEDSDV; armadillo"
"Medulloblastoma","MDB","155255","19833601",51684,"SUFU","607035","Cilia","16254602","SUFU;SUFU;ENSG00000107882; SUFUH; JBTS32; SUFUXL; PRO1280"
"Medulloblastoma","MDB","155255","15689453",675,"BRCA2","600185","Nucleoplasm,Cytosol","25613900","BRCA2;BRCA2;ENSG00000139618; FAD; FACD; FAD1; GLM3; BRCC2; FANCD; PNCA2; FANCD1; XRCC11; BROVCA2"
"Medulloblastoma","MDB","155255","32296180",8518,"ELP1","603722","Nucleoplasm,Cytosol","25613900","ELP1;ELP1;ENSG00000070061; FD; DYS; IKAP; IKI3; TOT1; IKBKAP"
"Mental Retardation, Truncal Obesity, Retinal Dystrophy, and Micropenis","MORMS","610156","19668215",56623,"INPP5E","613037","Cilia, Axoneme","19668216, 19668216","INPP5E;INPP5E;ENSG00000148384; CPD4; CORS1; JBTS1; MORMS; PPI5PIV; pharbin"
"Morbid Obesity and Spermatogenic Failure","MOSPGF","615703","24268657",84984,"CEP19","615586","Basal Body","24268657","CEP19;CEP19;ENSG00000174007; MOSPGF; C3orf34"
"Multinucleated Neurons, Anhydramnios, Renal Dysplasia, Cerebellar Hypoplasia, and Hydranencephaly","MARCH","236500","28264986",55165,"CEP55","610000","Plasma membrane,Midbody,Centriolar satellite","25613900","CEP55;CEP55;ENSG00000138180; CT111; MARCH; URCC6; C10orf3"
"Neonatal Sclerosing Cholangitis","NSC","617394","27319779",51473,"DCDC2","605755","Cilia, Axoneme","21698230, 25557784","DCDC2;DCDC2;ENSG00000146038; NSC; RU2; RU2S; DCDC2A; DFNB66; NPHP19"
"Nephronophthisis","NPHP1","256100","9326933, 23559409",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1"
"Nephronophthisis","NPHP2","602088","12872123",27130,"INVS","243305","Cilia","12872123","INVS;INVS;ENSG00000119509; INV; NPH2; NPHP2"
"Nephronophthisis","NPHP3","604387","12872122, 19303681",27031,"NPHP3","608002","Cilia, Basal Body","20462968, 22328406","NPHP3;NPHP3;ENSG00000113971; MKS7; NPH3; RHPD; RHPD1; SLSN3; CFAP31"
"Nephronophthisis","NPHP4","606966","11920287",261734,"NPHP4","607215","Transition Zone","21565611","NPHP4;NPHP4;ENSG00000131697; POC10; SLSN4"
"Nephronophthisis","NPHP7","611498","17618285",84662,"GLIS2","608539","Cilia","17618285","GLIS2;GLIS2;ENSG00000126603; NKL; NPHP7"
"Nephronophthisis","NPHP9","613824","18199800",284086,"NEK8","609799","Cilia","16267153, 23274954","NEK8;NEK8;ENSG00000160602; JCK; NPHP9; RHPD2; NEK12A"
"Nephronophthisis","NPHP11","613550","19508969",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Nephronophthisis","NPHP12","613820","21258341",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Nephronophthisis","NPHP13","614377","22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Nephronophthisis","NPHP14","614844","22863007",23090,"ZNF423","604557","Nucleoplasm","25613900","ZNF423;ZNF423;ENSG00000102935; OAZ; Roaz; hOAZ; Ebfaz; JBTS19; NPHP14; ZFP423; Zfp104"
"Nephronophthisis","NPHP15","614845","22863007",22897,"CEP164","614848","Cilia","31492868","CEP164;CEP164;ENSG00000110274; NPHP15"
"Nephronophthisis","NPHP16","615382","23793029",203286,"ANKS6","615370","Cilia","23793029","ANKS6;ANKS6;ENSG00000165138; PKDR1; SAMD6; NPHP16; ANKRD14"
"Nephronophthisis","NPHP18","615862","24882706",51134,"CEP83","615847","Cilia","24882706","CEP83;CEP83;ENSG00000173588; CCDC41; NPHP18; NY-REN-58"
"Nephronophthisis","NPHP19","616217","25557784",51473,"DCDC2","605755","Cilia, Axoneme","21698230, 25557784","DCDC2;DCDC2;ENSG00000146038; NSC; RU2; RU2S; DCDC2A; DFNB66; NPHP19"
"Nephronophthisis","NPHP20","617271","28089251",23005,"MAPKBP1","616786","Nucleoplasm,Nucleoli,Nucleoli rim","25613900","MAPKBP1;MAPKBP1;ENSG00000137802; JNKBP1; NPHP20; JNKBP-1"
"Nephronophthisis","NPHPL1","613159","20179356",63929,"XPNPEP3","613553","Mitochondria,Cytosol","25613900","XPNPEP3;XPNPEP3;ENSG00000196236; APP3; ICP55; NPHPL1"
"Nephronophthisis","NPHP","No MIM Number","34435324",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"Nephronophthisis","NPHP","No MIM Number","30609407",56999,"ADAMTS9","605421","Cilia","30814516",NA
"Nephronophthisis","NPHP","No MIM Number","31534065",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7"
"Nephronophthisis","NPHP","No MIM Number","32619255",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Orofaciodigital Syndrome","OFD1","311200","20818665",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Orofaciodigital Syndrome","OFD4","258860","22883145",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61"
"Orofaciodigital Syndrome","OFD5","174300","23972372",83479,"DDX59","615464","Nucleoplasm,Actin filaments","25613900","DDX59;DDX59;ENSG00000118197; OFD5; ZNHIT5"
"Orofaciodigital Syndrome","OFD6","277170","24178751",65250,"CPLANE1","614571","Cilia, Around Basal Body","27158779","CPLANE1;CPLANE1;ENSG00000197603; Hug; OFD6; JBTS17; C5orf42"
"Orofaciodigital Syndrome","OFD14","615948","24997988",26005,"C2CD3","615944","Basal Body","19004860","C2CD3;C2CD3;ENSG00000168014; OFD14"
"Orofaciodigital Syndrome","OFD15","617127","26643951",9851,"KIAA0753","617112","Centrosome,Cytosol","25613900","KIAA0753;KIAA0753;ENSG00000198920; MNR; OFIP; JBTS38; SRTD21"
"Orofaciodigital Syndrome","OFD16","617563","26518474",84314,"TMEM107","616183","Transition Zone","26595381","TMEM107;TMEM107;ENSG00000179029; MKS13; JBTS29; GRVS638; PRO1268"
"Orofaciodigital Syndrome","OFD17","617926","27158779",27152,"INTU","610621","Basal Body","31564489","INTU;INTU;ENSG00000164066; INT; OFD17; PDZD6; PDZK6; SRTD20; CPLANE4"
"Orofaciodigital Syndrome","OFD18","617927","27060890",55081,"IFT57","606621","Basal Body, Axoneme","21209331","IFT57;IFT57;ENSG00000114446; HIPPI; OFD18; MHS4R2; ESRRBL1"
"Pallister-Hall Syndrome","PHS","146510","9054938",2737,"GLI3","165240","Cilia","16254602","GLI3;GLI3;ENSG00000106571; PHS; ACLS; GCPS; PAPA; PAPB; PAP-A; PAPA1; PPDIV; GLI3FL; GLI3-190"
"Primary Ciliary Dyskinesia","CILD1","244400","11231901",27019,"DNAI1","604366","Not reported",NA,"DNAI1;DNAI1;ENSG00000122735; PCD; DIC1; ICS1; CILD1"
"Primary Ciliary Dyskinesia","CILD2","606763","22387996",352909,"DNAAF3","614566","Nuclear bodies,Mitochondria","25613900","DNAAF3;DNAAF3;ENSG00000167646; PCD; DAB1; PF22; CILD2; C19orf51"
"Primary Ciliary Dyskinesia","CILD3","608644","11788826",1767,"DNAH5","603335","Axoneme","17059358","DNAH5;DNAH5;ENSG00000039139; HL1; PCD; CILD3; KTGNR; DNAHC5"
"Primary Ciliary Dyskinesia","CILD5","608647","23022101",54768,"HYDIN","610812","Cilia","12719380","HYDIN;HYDIN;ENSG00000157423; CILD5; HYDIN1; HYDIN2; PPP1R31"
"Primary Ciliary Dyskinesia","CILD6","610852","17360648",51314,"NME8","607421","Cilia","16267153","NME8;NME8;ENSG00000086288; CILD6; DNAI8; SPTRX2; TXNDC3; NM23-H8; sptrx-2; HEL-S-99"
"Primary Ciliary Dyskinesia","CILD7","611884","12142464",8701,"DNAH11","603339","Cilia","26909801","DNAH11;DNAH11;ENSG00000105877; CILD7; DNHBL; DPL11; DNAHBL; DNAHC11"
"Primary Ciliary Dyskinesia","CILD9","612444","18950741",64446,"DNAI2","605483","Axoneme","18950741","DNAI2;DNAI2;ENSG00000171595; DIC2; CILD9"
"Primary Ciliary Dyskinesia","CILD10","612518","19052621",55172,"DNAAF2","612517","Cytosol","25613900","DNAAF2;DNAAF2;ENSG00000165506; KTU; PF13; CILD10; C14orf104"
"Primary Ciliary Dyskinesia","CILD11","612649","19200523",345895,"RSPH4A","612647","Axoneme","19200523, 25789548","RSPH4A;RSPH4A;ENSG00000111834; RSHL3; CILD11; RSPH6B; dJ412I7.1"
"Primary Ciliary Dyskinesia","CILD12","612650","19200523",221421,"RSPH9","612648","Axoneme","25789548","RSPH9;RSPH9;ENSG00000172426; CILD12; C6orf206; MRPS18AL1"
"Primary Ciliary Dyskinesia","CILD13","613193","19944400",123872,"DNAAF1","613190","Basal Body","29228333","DNAAF1;DNAAF1;ENSG00000154099; swt; DAU1; ODA7; CILD13; LRRC50"
"Primary Ciliary Dyskinesia","CILD14","613807","23255504",339829,"CCDC39","613798","Axoneme","21131972","CCDC39;CCDC39;ENSG00000284862; FAP59; CFAP59; CILD14"
"Primary Ciliary Dyskinesia","CILD15","613808","23255504",55036,"CCDC40","613799","Axoneme","21131974","CCDC40;CCDC40;ENSG00000141519; CILD15; FAP172; CFAP172"
"Primary Ciliary Dyskinesia","CILD16","614017","21496787",83544,"DNAL1","610062","Nucleoplasm,Centriolar satellite","25613900","DNAL1;DNAL1;ENSG00000119661; LC1; CILD16; C14orf168"
"Primary Ciliary Dyskinesia","CILD17","614679","22581229",388389,"CCDC103","614677","Axoneme","22581229","CCDC103;CCDC103;ENSG00000167131; SMH; PR46b; CILD17"
"Primary Ciliary Dyskinesia","CILD18","614874","23040496",54919,"DNAAF5","614864","Cilia","23040496","DNAAF5;DNAAF5;ENSG00000164818; CILD18; HEATR2"
"Primary Ciliary Dyskinesia","CILD19","614935","23122589",339977,"LRRC6","614930","Cilia","23122589",NA
"Primary Ciliary Dyskinesia","CILD20","615067","23261303, 23261302",93233,"ODAD1","615038","Cilia","23261303","ODAD1;ODAD1;ENSG00000105479; CILD20; CCDC114"
"Primary Ciliary Dyskinesia","CILD21","615294","23354437",92749,"DRC1","615288","Not reported",NA,"DRC1;DRC1;ENSG00000157856; CILD21; C2orf39; CCDC164"
"Primary Ciliary Dyskinesia","CILD22","615444","23891471, 23891469",51364,"ZMYND10","607070","Axoneme, Basal Body","23891469","ZMYND10;ZMYND10;ENSG00000004838; BLU; FLU; CILD22; DNAAF7"
"Primary Ciliary Dyskinesia","CILD23","615451","23849778",55130,"ODAD2","615408","Axoneme","23849778","ODAD2;ODAD2;ENSG00000169126; gudu; ARMC4; CILD23"
"Primary Ciliary Dyskinesia","CILD24","615481","23993197",89765,"RSPH1","609314","Cilia","23993197","RSPH1;RSPH1;ENSG00000160188; CT79; TSA2; RSP44; TSGA2; RSPH10A"
"Primary Ciliary Dyskinesia","CILD25","615482","23872636",161582,"DNAAF4","608706","Cilia, Basal Body","27451412, 23872636","DNAAF4;DNAAF4;ENSG00000256061; RD; DYX1; EKN1; DYXC1; CILD25; DYX1C1"
"Primary Ciliary Dyskinesia","CILD26","615500","24094744",56683,"CFAP298","615494","Not reported",NA,"CFAP298;CFAP298;ENSG00000159079; Kur; FBB18; CILD26; DNAAF16; C21orf48; C21orf59"
"Primary Ciliary Dyskinesia","CILD27","615504","23991085, 24094744",85478,"CCDC65","611088","Cilia","23991085","CCDC65;CCDC65;ENSG00000139537; DRC2; FAP250; CFAP250; NYD-SP28"
"Primary Ciliary Dyskinesia","CILD28","615505","24055112",6674,"SPAG1","603395","Cytosol","25613900","SPAG1;SPAG1;ENSG00000104450; SP75; TPIS; CT140; CILD28; DNAAF13; HSD-3.8; HEL-S-268"
"Primary Ciliary Dyskinesia","CILD29","615872","24747639",10309,"CCNO","607752","Not reported",NA,"CCNO;CCNO;ENSG00000152669; CCNU; UDG2; CILD29"
"Primary Ciliary Dyskinesia","CILD30","616037","25224326",115948,"ODAD3","615956","Axoneme","25192045","ODAD3;ODAD3;ENSG00000198003; ODA10; CILD30; CCDC151"
"Primary Ciliary Dyskinesia","CILD32","616481","26073779",83861,"RSPH3","615876","Cilia","26073779","RSPH3;RSPH3;ENSG00000130363; RSP3; RSHL2; CILD32; dJ111C20.1"
"Primary Ciliary Dyskinesia","CILD33","616726","26387594",2622,"GAS8","605178","Axoneme","21131972","GAS8;GAS8;ENSG00000141013; DRC4; GAS11; CILD33"
"Primary Ciliary Dyskinesia","CILD34","617091","27486783",374407,"DNAJB13","610263","Axoneme","19919626, 27486783","DNAJB13;DNAJB13;ENSG00000187726; CILD34; TSARG5; TSARG6; RSPH16A"
"Primary Ciliary Dyskinesia","CILD35","617092","27486780",83538,"ODAD4","617095","Axoneme","27486780","ODAD4;ODAD4;ENSG00000204815; TTC25"
"Primary Ciliary Dyskinesia","CILD36","300991","28041644",139212,"DNAAF6","300933","Not reported",NA,"DNAAF6;DNAAF6;ENSG00000080572; CILD36; PIH1D3; CXorf41; NYSAR97; TWISTER"
